Tanggal,Tn,Tx,Tavg,RH_avg,RR,ff_avg
2019-03-01,26.8,31,28.3,80,1,2
2019-03-02,23.8,31.8,28.5,78,0.9,2
2019-03-03,25,30,27.1,86,3.5,1
2019-03-04,24.2,32,28,82,34.5,2
2019-03-05,24,31.6,27.5,82,75.6,1
2019-03-06,24.6,29,25.7,88,90.5,1
2019-03-07,24,30.4,27.2,78,5.4,1
2019-03-08,25,32,28.6,79,0,2
2019-03-09,24.4,31.8,27.5,81,22,2
2019-03-10,25,32,28.4,77,0,1
2019-03-11,26.2,31.8,28.1,78,0.4,2
2019-03-12,25,30,27.1,84,4.1,2
2019-03-13,24.8,32,28,79,6.8,1
2019-03-14,24,32.4,27.9,73,28,1
2019-03-15,24.6,32.8,28.7,78,0,2
2019-03-16,25,32.2,28.6,74,0.5,2
2019-03-17,26.2,31.8,27.8,78,0,2
2019-03-18,25.4,32.8,28,76,7.8,1
2019-03-19,25.8,30.4,27.7,78,2.8,2
2019-03-20,25,31.6,28.3,77,0,3
2019-03-21,26.2,32.2,28.4,76,0,2
2019-03-22,26.8,32.8,29.2,74,0,2
2019-03-23,27,33.8,29.2,76,3.2,2
2019-03-24,25,33.8,29.1,74,1.2,2
2019-03-25,26.4,32.6,27.7,80,0,1
2019-03-26,25.6,33.2,28.8,79,5,2
2019-03-27,25,33,28.2,82,10.5,1
2019-03-28,25,34.8,29.4,74,17,2
2019-03-29,25,33.2,28.7,77,1,2
2019-03-30,25.8,32.6,28.7,79,5,1
2019-03-31,25.8,32.6,28.5,78,0.6,1
2019-04-01,26.6,32.6,28.3,76,8888,2
2019-04-02,25,33,27.7,79,12,2
2019-04-03,25,32.8,28.1,82,8.8,2
2019-04-04,25.2,32.8,29.4,74,5.6,2
2019-04-05,26.8,32.2,28.5,79,8888,2
2019-04-06,26.6,32.4,28.5,80,1.7,1
2019-04-07,25,33.2,28,78,2,1
2019-04-08,24.8,33.2,29.1,82,50.6,2
2019-04-09,25,32.2,28.6,80,3.5,2
